Time[s],TMc_SBW(-)19.04.11_Ver1.00_Backup::SCU11::SCU_POS_TAR,TMc_SBW(-)19.04.11_Ver1.00_Backup::SCU11::SCU_POS_ACT,TMc_SBW(-)19.04.11_Ver1.00_Backup::SCU_MCP::SCU_S2_PWM
21.580000,0,7,77.690243
21.590000,0,7,79.886807
21.600000,0,0,80.358450
21.610000,0,0,80.400000
21.620000,0,0,80.524503
21.630000,0,0,80.600000
21.640000,0,0,80.724422
21.650000,0,0,80.926765
21.660000,0,0,81.309222
21.670000,0,0,81.827426
21.680000,0,0,82.188175
21.690000,0,0,82.499091
21.700000,0,0,82.660548
21.710000,0,0,82.827222
21.720000,0,0,82.900000
21.730000,0,0,82.900000
21.740000,0,0,82.900000
21.750000,0,0,82.900000
21.760000,0,0,82.900000
21.770000,0,0,82.900000
21.780000,0,0,82.900000
21.790000,0,0,82.900000
21.800000,0,0,82.900000
21.810000,0,0,82.900000
21.820000,0,0,82.900000
21.830000,0,0,82.900000
21.840000,0,0,82.900000
21.850000,0,0,82.900000
21.860000,0,0,82.900000
21.870000,0,0,82.900000
21.880000,0,0,82.900000
21.890000,0,0,82.900000
21.900000,0,0,82.900000
21.910000,0,0,82.900000
21.920000,0,0,82.900000
21.930000,0,0,82.900000
21.940000,0,0,82.900000
21.950000,0,0,82.900000
21.960000,0,0,82.900000
21.970000,0,0,82.900000
21.980000,0,0,82.900000
21.990000,0,0,82.900000
22.000000,0,0,82.900000
22.010000,0,0,82.900000
22.020000,0,0,82.900000
22.030000,0,0,82.900000
22.040000,0,0,82.900000
22.050000,0,0,82.900000
22.060000,0,0,82.900000
22.070000,0,0,82.900000
22.080000,0,0,82.900000
22.090000,0,0,82.900000
22.100000,0,0,82.900000
22.110000,0,0,82.900000
22.120000,0,0,82.900000
22.130000,0,0,82.900000
22.140000,0,0,82.900000
22.150000,0,0,82.900000
22.160000,0,0,82.900000
22.170000,0,0,82.900000
22.180000,0,0,82.900000
22.190000,0,0,82.900000
22.200000,0,0,82.900000
22.210000,0,0,82.900000
22.220000,0,0,82.900000
22.230000,0,0,82.900000
22.240000,0,0,82.900000
22.250000,0,0,82.900000
22.260000,0,0,82.900000
22.270000,0,0,82.900000
22.280000,0,0,82.900000
22.290000,0,0,82.900000
22.300000,0,0,82.900000
22.310000,0,0,82.900000
22.320000,0,0,82.900000
22.330000,0,0,82.900000
22.340000,0,0,82.900000
22.350000,0,0,82.900000
22.360000,0,0,82.900000
22.370000,0,0,82.900000
22.380000,0,0,82.900000
22.390000,0,0,82.900000
22.400000,0,0,82.900000
22.410000,0,0,82.900000
22.420000,6,0,82.900000
22.430000,6,0,82.900000
22.440000,6,0,82.834935
22.450000,6,0,82.800000
22.460000,6,0,82.800000
22.470000,6,0,82.734075
22.480000,6,0,82.260340
22.490000,6,0,78.737344
22.500000,6,0,75.503332
22.510000,6,0,72.847865
22.520000,6,0,69.934545
22.530000,6,0,65.452288
22.540000,6,0,59.704268
22.550000,6,0,56.228781
22.560000,6,0,55.345333
22.570000,6,0,54.529047
22.580000,6,7,52.938830
22.590000,6,7,50.737243
22.600000,6,7,48.614745
22.610000,6,7,46.333848
22.620000,6,7,43.863812
22.630000,6,7,40.374216
22.640000,6,7,37.948152
22.650000,6,7,37.363123
22.660000,6,7,37.400000
22.670000,6,6,37.400000
22.680000,6,6,37.400000
22.690000,6,6,37.400000
22.700000,6,6,37.400000
22.710000,6,6,37.400000
22.720000,6,6,37.400000
22.730000,6,6,37.400000
22.740000,6,6,37.400000
22.750000,6,6,37.400000
22.760000,6,6,37.400000
22.770000,6,6,37.400000
22.780000,6,6,37.400000
22.790000,6,6,37.400000
22.800000,6,6,37.400000
22.810000,6,6,37.400000
22.820000,6,6,37.400000
22.830000,6,6,37.400000
22.840000,6,6,37.400000
22.850000,6,6,37.400000
22.860000,6,6,37.400000
22.870000,6,6,37.400000
22.880000,6,6,37.400000
22.890000,6,6,37.400000
22.900000,6,6,37.400000
22.910000,6,6,37.400000
22.920000,6,6,37.400000
22.930000,6,6,37.400000
22.940000,6,6,37.400000
22.950000,6,6,37.400000
22.960000,6,6,37.400000
22.970000,6,6,37.400000
22.980000,6,6,37.400000
22.990000,6,6,37.400000
23.000000,6,6,37.400000
23.010000,6,6,37.400000
23.020000,6,6,37.400000
23.030000,6,6,37.400000
23.040000,6,6,37.400000
23.050000,6,6,37.400000
23.060000,6,6,37.400000
23.070000,6,6,37.400000
23.080000,6,6,37.400000
23.090000,6,6,37.400000
23.100000,6,6,37.400000
23.110000,6,6,37.400000
23.120000,6,6,37.400000
23.130000,6,6,37.400000
23.140000,6,6,37.400000
23.150000,6,6,37.400000
23.160000,6,6,37.400000
23.170000,6,6,37.400000
23.180000,6,6,37.400000
23.190000,6,6,37.400000
23.200000,6,6,37.400000
23.210000,6,6,37.400000
23.220000,6,6,37.400000
23.230000,6,6,37.400000
23.240000,6,6,37.400000
23.250000,6,6,37.400000
23.260000,6,6,37.400000
23.270000,6,6,37.400000
23.280000,6,6,37.400000
23.290000,6,6,37.400000
23.300000,6,6,37.400000
23.310000,6,6,37.400000
23.320000,6,6,37.400000
23.330000,6,6,37.400000
23.340000,6,6,37.400000
23.350000,6,6,37.400000
23.360000,6,6,37.400000
23.370000,6,6,37.400000
23.380000,6,6,37.400000
23.390000,6,6,37.400000
23.400000,6,6,37.400000
23.410000,6,6,37.400000
23.420000,6,6,37.400000
23.430000,6,6,37.400000
23.440000,6,6,37.400000
23.450000,6,6,37.400000
23.460000,6,6,37.400000
23.470000,6,6,37.400000
23.480000,6,6,37.400000
23.490000,6,6,37.400000
23.500000,6,6,37.400000
23.510000,6,6,37.400000
23.520000,6,6,37.400000
23.530000,6,6,37.400000
23.540000,6,6,37.400000
23.550000,6,6,37.400000
23.560000,6,6,37.400000
23.570000,6,6,37.400000
23.580000,6,6,37.400000
23.590000,6,6,37.400000
23.600000,6,6,37.400000
23.610000,6,6,37.400000
23.620000,6,6,37.400000
23.630000,6,6,37.400000
23.640000,6,6,37.400000
23.650000,6,6,37.400000
23.660000,6,6,37.400000
23.670000,6,6,37.400000
23.680000,6,6,37.400000
23.690000,6,6,37.400000
23.700000,6,6,37.400000
23.710000,6,6,37.400000
23.720000,6,6,37.400000
23.730000,6,6,37.400000
23.740000,6,6,37.400000
23.750000,6,6,37.400000
23.760000,6,6,37.400000
23.770000,6,6,37.400000
23.780000,6,6,37.400000
23.790000,6,6,37.400000
23.800000,6,6,37.400000
23.810000,6,6,37.400000
23.820000,6,6,37.400000
23.830000,6,6,37.400000
23.840000,6,6,37.400000
23.850000,6,6,37.400000
23.860000,6,6,37.400000
23.870000,6,6,37.400000
23.880000,6,6,37.400000
23.890000,6,6,37.400000
23.900000,6,6,37.400000
23.910000,6,6,37.400000
23.920000,7,6,37.400000
